WT_P62	Y2_P37_28	YT2_P37_7_17	gene_id
1.94684725721572	1.52183804662714	2.32347565069207	FHAD1
-1.5856478236113	-1.57381419243655	-1.65459370923843	EFHD2-AS1
5.03535742703539	5.47445293606911	5.84250104230306	EFHD2
-4.3930027456689	-4.94304800210227	-4.19064660947864	CTRC
4.32695642319161	4.84757200966708	4.68156653449713	CASP9
5.10484909128221	4.71932367520531	4.84772372225204	DNAJC16
-4.3930027456689	-4.94304800210227	-3.34264970292369	ENSG00000272510
3.14873922645313	2.57789800574774	3.45465155446999	AGMAT
-3.6560371515027	-3.35808550138111	-3.34264970292369	ENSG00000237301
1.64408657306632	2.2302127119033	2.2589147651346	CHCHD2P6
6.10451648147304	5.86135195282046	6.22657300562045	DDI2
6.43804053416921	6.25723760312203	6.44688394204667	PLEKHM2
-1.11998425126249	-0.299191812327542	0.228892282035143	SLC25A34
1.42291418989212	-0.419486046045254	-1.02072160803633	TMEM82
-1.73003773294647	-1.39872748587846	-2.81213498622491	ENSG00000297277
6.62496554452518	6.49626345971658	6.95311923149682	FBLIM1
2.74654860672989	2.2302127119033	1.41223779923978	SPEN-AS1
6.17019352654783	6.72361983858809	6.66188289992556	UQCRHL
2.57278153899318	2.34543360969195	2.34851220162939	ENSG00000178715
6.61098357392462	6.89260768873753	7.25529937453161	SPEN
4.14486274841761	4.53200985168443	4.44815129047305	ZBTB17
-3.6560371515027	-3.35808550138111	-4.92761220364485	HSPB7
0.250853444105821	0.691158017638739	0.542707731135186	CLCNKA
-2.51853362775276	-4.20608240793606	-4.19064660947864	ENSG00000307216
2.74654860672989	2.0456366846699	1.19478442771488	CLCNKB
0.680246236361735	-0.746650789298763	-1.22717248550376	FAM131C
5.29057675391006	5.48076824545708	5.12812213320409	EPHA2
-3.17061032433246	-2.82757078468233	-2.42511186311566	EPHA2-AS1
5.78732085233362	4.71694789032771	3.71022019850211	ARHGEF19
-2.27752552824897	-2.82757078468233	-4.19064660947864	ANO7L1
2.00502832830425	2.10498469431954	1.63208353846588	ENSG00000288398
2.12532256202196	1.98374215094396	1.01880675615031	CPLANE2
-3.17061032433246	-1.24260828396117	-2.60568410875749	ENSG00000293791
5.29291404893873	5.35042364673587	5.59496932760998	FBXO42
6.80441874480694	7.15157955400389	7.32120485563366	SZRD1
2.23635387441071	2.35768587051597	2.37312166897339	RPL22P3
-2.07107465078154	-2.28008298937984	-1.98901274830899	SPATA21
5.08070300395051	5.10906715432024	5.40143662417525	NECAP2
2.63305955091729	2.78260227883611	2.68954911946446	CROCCP3
-2.51853362775276	-1.77312300065995	-1.86871851459128	LINC01772
-2.80804024494775	-1.10174574812132	-3.7052197823084	ENSG00000306228
0.987819038272028	-0.746650789298763	-1.15502269974792	ENSG00000224174
-3.6560371515027	-1.77312300065995	-1.22717248550376	LINC01783
0.431425689747642	0.570021580137104	-0.2087939561889	ENSG00000298308
4.68648203815791	4.5693632661668	4.40703353423725	NBPF1
3.69269100272838	3.68022385551637	3.67601414134134	ENSG00000291072
-0.486112150060385	-1.03615740649375	-1.75768720220254	CROCCP2
2.16669299644182	-0.338185943943406	-0.957985852688366	MST1P2
-4.3930027456689	-3.72065558076582	-2.81213498622491	ENSG00000280114
3.80503296253035	4.89036921654153	5.03672866414757	ENSG00000290849
-1.73003773294647	0.0111483082846089	-0.0696312085172751	ENSG00000296694
-3.6560371515027	-2.82757078468233	-2.81213498622491	ESPNP
5.51538987510485	5.48216790119712	5.66079012648303	CROCC
-3.17061032433246	-2.13569308004466	-3.05314308572871	ENSG00000290850
