"","logFC","gene_id","direction"
"PDCD6-DT",3.07444560847443,"PDCD6-DT","up"
"LINC02211",3.07444560847443,"LINC02211","up"
"VCAM1",-3.06789356129598,"VCAM1","down"
"CCDC68",-3.06789356129598,"CCDC68","down"
"XACT",-3.06214882521747,"XACT","down"
"SLC9A7P1",-3.0599063019138,"SLC9A7P1","down"
"TAF7L",3.05876398624216,"TAF7L","up"
"ENSG00000280107",-3.05254559696255,"ENSG00000280107","down"
"KASH5",-3.05254559696255,"KASH5","down"
"ENSG00000294954",-3.05254559696255,"ENSG00000294954","down"
"ENSG00000253300",-3.05254559696255,"ENSG00000253300","down"
"ATP8B5P",-3.05254559696255,"ATP8B5P","down"
"ENSG00000304343",-3.05254559696255,"ENSG00000304343","down"
"LINC02870",-3.05254559696255,"LINC02870","down"
"ENSG00000296981",-3.05254559696255,"ENSG00000296981","down"
"ENSG00000302808",-3.05254559696255,"ENSG00000302808","down"
"MAPT-IT1",-3.05254559696255,"MAPT-IT1","down"
"ENSG00000276101",-3.05254559696255,"ENSG00000276101","down"
"RNU6-611P",-3.05254559696255,"RNU6-611P","down"
"TMEM150B",-3.05254559696255,"TMEM150B","down"
"CD93",-3.05254559696255,"CD93","down"
"ENSG00000297768",-3.05254559696255,"ENSG00000297768","down"
"PGAM1P7",-3.05254559696255,"PGAM1P7","down"
"LMX1B",-3.04530495420629,"LMX1B","down"
"CTCFL",-3.04358472939092,"CTCFL","down"
"SOX21",-3.04311938454496,"SOX21","down"
"ELAVL4",3.04013495355881,"ELAVL4","up"
"PADI3",-3.03652322757789,"PADI3","down"
"ECHDC2",-3.03285785910939,"ECHDC2","down"
"VPS9D1-AS1",-3.03243802351397,"VPS9D1-AS1","down"
"CDH13",-3.03047717368321,"CDH13","down"
"MDGA2",3.0201807010309,"MDGA2","up"
"LYPD1",-3.01923144259639,"LYPD1","down"
"DSG1",-3.01819409217177,"DSG1","down"
"CDH15",-2.99483009910626,"CDH15","down"
"ENSG00000225096",2.99427525979045,"ENSG00000225096","up"
"ENSG00000289166",2.99427525979045,"ENSG00000289166","up"
"ESX1",2.99427525979045,"ESX1","up"
"TILAM",-2.98668501019742,"TILAM","down"
"ENSG00000257509",-2.98300466370947,"ENSG00000257509","down"
"MYL11",-2.98300466370947,"MYL11","down"
"POSTN",2.97598411093296,"POSTN","up"
"AHNAK",-2.9758056189886,"AHNAK","down"
"ZNF829",-2.97425440161046,"ZNF829","down"
