"","logFC","gene_id","direction"
"ENSG00000305620",-5.74406282360489,"ENSG00000305620","down"
"LIMCH1",-5.72981386786661,"LIMCH1","down"
"SEC14L4",-5.71783128203171,"SEC14L4","down"
"IADEN",-5.71252725017179,"IADEN","down"
"CEBPZOS",-5.69957286457964,"CEBPZOS","down"
"MAP3K13",-5.69819293254443,"MAP3K13","down"
"ENSG00000295948",-5.69111394365593,"ENSG00000295948","down"
"SLITRK1",5.68686258371788,"SLITRK1","up"
"POU3F4",5.66201386485716,"POU3F4","up"
"NOTUM",-5.63053387797448,"NOTUM","down"
"ENSG00000298074",-5.60785844000658,"ENSG00000298074","down"
"KRT14",-5.58658674875346,"KRT14","down"
"ENSG00000287059",-5.5790035773344,"ENSG00000287059","down"
"RNASE1",-5.5790035773344,"RNASE1","down"
"TMLHE",-5.5478089557308,"TMLHE","down"
"TILAM",-5.50730211198021,"TILAM","down"
"PKIB",-5.49499760207709,"PKIB","down"
"LGALS12",-5.48880576836282,"LGALS12","down"
"GP6-AS1",-5.48880576836282,"GP6-AS1","down"
"CER1",-5.45455620640991,"CER1","down"
"FYB2",-5.42538038822119,"FYB2","down"
"ONECUT1",5.4012325113287,"ONECUT1","up"
"ENSG00000289458",5.38663643060965,"ENSG00000289458","up"
"ENSG00000294256",5.38663643060965,"ENSG00000294256","up"
"CH25H",-5.35903789339249,"CH25H","down"
"CLDN4",-5.35792448794198,"CLDN4","down"
"ENSG00000293586",-5.32468638860171,"ENSG00000293586","down"
"EID3",-5.32468638860171,"EID3","down"
"FILIP1",-5.30934295846435,"FILIP1","down"
"SAMD11",-5.30879751609835,"SAMD11","down"
"LINC01356",-5.30193406337763,"LINC01356","down"
"LINC02334",5.29492983314765,"LINC02334","up"
"TTC22",-5.28949696013941,"TTC22","down"
"ENSG00000303671",-5.28949696013941,"ENSG00000303671","down"
"SOCS3-DT",-5.28949696013941,"SOCS3-DT","down"
"ENSG00000298367",-5.28949696013941,"ENSG00000298367","down"
"ENSG00000248540",5.2690604172738,"ENSG00000248540","up"
"C1orf210",-5.26413023998099,"C1orf210","down"
"PCDHB5",-5.26382555253721,"PCDHB5","down"
"ZP3",-5.21643349794969,"ZP3","down"
"ACP7",-5.21643349794969,"ACP7","down"
"ENSG00000289643",-5.17127503682984,"ENSG00000289643","down"
"TSHZ1",5.16274428029141,"TSHZ1","up"
"ENSG00000307584",-5.09939407675947,"ENSG00000307584","down"
"PLAAT5",-5.09438362660627,"PLAAT5","down"
"GABRP",-5.08434347038612,"GABRP","down"
"EIF4E1B",-5.02432364354928,"EIF4E1B","down"
"ENSG00000272180",-5.01573614771256,"ENSG00000272180","down"
"MYL3",-5.01573614771256,"MYL3","down"
"LINC02335",-5.01573614771256,"LINC02335","down"
"ENSG00000296968",-5.01573614771256,"ENSG00000296968","down"
"MYT1L",5.01314196364814,"MYT1L","up"
"AMOTL2",-5.00962545144141,"AMOTL2","down"
"ENSG00000288967",-4.98242199334641,"ENSG00000288967","down"
"ACP5",-4.97693864892253,"ACP5","down"
"CD300A",-4.97201477028324,"CD300A","down"
"PAX6",-4.96565927524342,"PAX6","down"
"SEZ6",-4.9269268807547,"SEZ6","down"
"CCDC68",-4.9269268807547,"CCDC68","down"
"MIR4435-2HG",-4.90848963249803,"MIR4435-2HG","down"
"ARHGAP15",-4.8991818902718,"ARHGAP15","down"
"DMBX1",-4.89063075153171,"DMBX1","down"
"C3P1",-4.88038429481767,"C3P1","down"
"MROH5",-4.87089284584038,"MROH5","down"
"DYNAP",-4.86680588831713,"DYNAP","down"
"ACOT2",-4.84510265780102,"ACOT2","down"
"BMP4",-4.83033248251591,"BMP4","down"
"CTSF",-4.80407013296917,"CTSF","down"
"ZEB1",4.78898232539971,"ZEB1","up"
"GDF7",4.75898991385292,"GDF7","up"
