"","logFC","gene_id","direction"
"UCP1",3.37389158171553,"UCP1","up"
"HSD11B1-AS1",3.36703383836499,"HSD11B1-AS1","up"
"ALK",-3.36593304554155,"ALK","down"
"ULBP1",3.35850309500649,"ULBP1","up"
"ENSG00000231827",-3.3578279959045,"ENSG00000231827","down"
"SLC49A3",3.3537980112083,"SLC49A3","up"
"SOCS3-DT",3.3537980112083,"SOCS3-DT","up"
"ENSG00000308658",3.3537980112083,"ENSG00000308658","up"
"DDIT3",3.3356242868435,"DDIT3","up"
"ASNS",3.33013336512986,"ASNS","up"
"ENSG00000304194",-3.32771372331106,"ENSG00000304194","down"
"GRIN1",3.32695639898966,"GRIN1","up"
"ATP8B1",3.32243384029896,"ATP8B1","up"
"ENSG00000296968",3.32243384029896,"ENSG00000296968","up"
"CER1",3.31954844925539,"CER1","up"
"ENSG00000260362",3.31495387517814,"ENSG00000260362","up"
"ENSG00000280511",3.30296922986625,"ENSG00000280511","up"
"ENSG00000258454",-3.28845429286383,"ENSG00000258454","down"
"NRN1",3.28303332360595,"NRN1","up"
"LINC00607",3.27734595077043,"LINC00607","up"
"ZNF829",3.27734595077043,"ZNF829","up"
"LINC00051",-3.27417006685759,"LINC00051","down"
"LHX2",3.27280917017365,"LHX2","up"
"LINC00458",3.27280917017365,"LINC00458","up"
"ATP2C2",3.26859568867141,"ATP2C2","up"
"SPMIP9",3.257582695949,"SPMIP9","up"
"TRPM8",3.257582695949,"TRPM8","up"
"ENSG00000251361",3.257582695949,"ENSG00000251361","up"
"ENSG00000298949",3.257582695949,"ENSG00000298949","up"
"ENSG00000260271",3.257582695949,"ENSG00000260271","up"
"ENSG00000290064",3.257582695949,"ENSG00000290064","up"
"ENSG00000237713",3.257582695949,"ENSG00000237713","up"
"LGI3",3.257582695949,"LGI3","up"
"ENSG00000287530",3.257582695949,"ENSG00000287530","up"
"REC114",3.257582695949,"REC114","up"
"ENSG00000306011",3.24329846994275,"ENSG00000306011","up"
"PRSS22",3.24329846994275,"PRSS22","up"
"ENSG00000309781",-3.24250470700334,"ENSG00000309781","down"
"LINC00678",3.2302307673845,"LINC00678","up"
"NDUFA4L2",3.22663898874073,"NDUFA4L2","up"
"ENSG00000239922",-3.22055022836203,"ENSG00000239922","down"
"CXCR2",3.21267027407342,"CXCR2","up"
"ISL2",3.2116331100885,"ISL2","up"
"ENSG00000291156",3.19571186571141,"ENSG00000291156","up"
"ENSG00000276101",-3.18536079989973,"ENSG00000276101","down"
"ENSG00000232710",-3.18536079989973,"ENSG00000232710","down"
"PGAM1P7",-3.18536079989973,"PGAM1P7","down"
"ENSG00000301450",3.15448920298489,"ENSG00000301450","up"
"ENSG00000289902",3.15448920298489,"ENSG00000289902","up"
"CLPSL1",3.15448920298489,"CLPSL1","up"
"ENSG00000233264",3.15448920298489,"ENSG00000233264","up"
"ENSG00000255108",3.15448920298489,"ENSG00000255108","up"
"ENSG00000261114",3.15448920298489,"ENSG00000261114","up"
"ENSG00000308099",3.15448920298489,"ENSG00000308099","up"
"PCDH12",3.15448920298489,"PCDH12","up"
"DDIT4-AS1",3.15448920298489,"DDIT4-AS1","up"
"TDRD1",3.15448920298489,"TDRD1","up"
"IL17C",3.15448920298489,"IL17C","up"
"LDHA",3.1539087417007,"LDHA","up"
"ETV3L",-3.13517504273151,"ETV3L","down"
"ADGRF5",-3.11977245827215,"ADGRF5","down"
"ENSG00000257869",3.10794661704786,"ENSG00000257869","up"
"CYP2T1P",3.10430344581668,"CYP2T1P","up"
"ASS1P7",3.10154032303593,"ASS1P7","up"
"FEZF1-AS1",3.09677370512861,"FEZF1-AS1","up"
"CRLF1",3.09677370512861,"CRLF1","up"
"MT1G",3.09498819123623,"MT1G","up"
"DDIT4",3.09110441083354,"DDIT4","up"
"GALNT3",3.09106382284326,"GALNT3","up"
"NCMAP",3.08890086135732,"NCMAP","up"
"RPL39P36",3.08890086135732,"RPL39P36","up"
"ENSG00000295525",3.08890086135732,"ENSG00000295525","up"
"RALYL",3.08142574079517,"RALYL","up"
"PPIEL",3.07782799568657,"PPIEL","up"
"NTN1",3.07756826512566,"NTN1","up"
"ENSG00000183308",-3.07432948751099,"ENSG00000183308","down"
"APOA5",-3.07432948751099,"APOA5","down"
"ENSG00000268595",-3.07432948751099,"ENSG00000268595","down"
"ENSG00000225330",-3.07432948751099,"ENSG00000225330","down"
"ENSG00000248927",3.06888048747606,"ENSG00000248927","up"
"GDF15",3.06649896452857,"GDF15","up"
"EGR3",3.06635829270623,"EGR3","up"
"PCDH8",-3.06212903390546,"PCDH8","down"
"ENSG00000289262",3.05985232884682,"ENSG00000289262","up"
"SGCG",3.05985232884682,"SGCG","up"
"NKX6-1",-3.04735097853418,"NKX6-1","down"
"ENSG00000249413",3.04345789059615,"ENSG00000249413","up"
"ENSG00000248165",3.04345789059615,"ENSG00000248165","up"
"ENSG00000268743",3.04345789059615,"ENSG00000268743","up"
"LINC02965",3.04345789059615,"LINC02965","up"
"ACP7",3.04345789059615,"ACP7","up"
"SHOX",3.04345789059615,"SHOX","up"
"BARX1",3.03360169485114,"BARX1","up"
"EQTN",3.0201881112733,"EQTN","up"
"ENSG00000258789",3.0201881112733,"ENSG00000258789","up"
"TRPM1",3.0201881112733,"TRPM1","up"
"LINC01971",3.0201881112733,"LINC01971","up"
"DRD3",-3.00960671965522,"DRD3","down"
"HSF4",3.00446375898029,"HSF4","up"
"ACOT2",2.99402453079165,"ACOT2","up"
"TUBG1P",-2.97890992243231,"TUBG1P","down"
"ENSG00000304574",-2.97890992243231,"ENSG00000304574","down"
"BSPRY",2.97416260608211,"BSPRY","up"
"ENSG00000289292",2.97391695734307,"ENSG00000289292","up"
"GJC3",2.97249136924201,"GJC3","up"
"ENSG00000287352",2.96438631960495,"ENSG00000287352","up"
"KCNV1",2.95856899300964,"KCNV1","up"
"ENSG00000269559",-2.95403525379328,"ENSG00000269559","down"
"ENSG00000272103",-2.95403525379328,"ENSG00000272103","down"
"FER1L6",-2.95403525379328,"FER1L6","down"
"ENSG00000298123",-2.95403525379328,"ENSG00000298123","down"
"ENSG00000267571",-2.95403525379328,"ENSG00000267571","down"
"DEFB122",-2.95403525379328,"DEFB122","down"
"ENSG00000296982",-2.95403525379328,"ENSG00000296982","down"
"ENSG00000305363",-2.95403525379328,"ENSG00000305363","down"
"MARCHF1",2.94803832551747,"MARCHF1","up"
"C7orf57",2.94803832551747,"C7orf57","up"
"WNT8B",2.94803832551747,"WNT8B","up"
"PLAAT5",2.93661097831965,"PLAAT5","up"
"PRND",-2.93600133096301,"PRND","down"
"ENSG00000249574",-2.93104361116705,"ENSG00000249574","down"
"NPHS1",2.93052436182969,"NPHS1","up"
"OTX1",2.92316365687844,"OTX1","up"
"SCTR",2.92316365687844,"SCTR","up"
"LINC02043",2.92316365687844,"LINC02043","up"
"EREG",2.92316365687844,"EREG","up"
"MSX2",2.92316365687844,"MSX2","up"
"ENSG00000302453",2.92316365687844,"ENSG00000302453","up"
"ENSG00000279766",2.92316365687844,"ENSG00000279766","up"
"ENSG00000303186",2.92316365687844,"ENSG00000303186","up"
"PRDM12",2.92316365687844,"PRDM12","up"
"ENSG00000256341",2.92316365687844,"ENSG00000256341","up"
"ENSG00000290858",2.92316365687844,"ENSG00000290858","up"
"DHRS2",2.92004069770421,"DHRS2","up"
"ENSG00000286970",-2.91665764397925,"ENSG00000286970","down"
"TAL1",2.91388397839042,"TAL1","up"
"ENSG00000274849",2.9134811034811,"ENSG00000274849","up"
"HSH2D",2.9134811034811,"HSH2D","up"
"HES2",2.9083286157155,"HES2","up"
"CCDC192",2.90512973404818,"CCDC192","up"
"ENTPD2",2.90512973404818,"ENTPD2","up"
"ACKR1",-2.90296106919901,"ACKR1","down"
"H2AC12",-2.90296106919901,"H2AC12","down"
"ENSG00000263235",-2.90296106919901,"ENSG00000263235","down"
"CCDC144NL",2.89650802487738,"CCDC144NL","up"
"HHEX",2.88160701119475,"HHEX","up"
"PCDHA13",2.88072839055804,"PCDHA13","up"
"ABCG2",2.87341062168134,"ABCG2","up"
"NEXN-AS1",2.87208947228417,"NEXN-AS1","up"
"ENSG00000290574",2.87208947228417,"ENSG00000290574","up"
"ENSG00000304569",2.87208947228417,"ENSG00000304569","up"
"TMEM54",2.86821732938921,"TMEM54","up"
"ENSG00000302441",2.865140897547,"ENSG00000302441","up"
"ENSG00000303056",2.86498258578991,"ENSG00000303056","up"
"G0S2",2.85820299135471,"G0S2","up"
"JDP2",2.8579362963347,"JDP2","up"
"CREB5",2.85465487894815,"CREB5","up"
"FGF17",2.84963462145647,"FGF17","up"
"FBXO32",2.84963462145647,"FBXO32","up"
"ENSG00000308339",2.84963462145647,"ENSG00000308339","up"
"FGF8",2.84470653795962,"FGF8","up"
"ENSG00000289458",2.84008031474322,"ENSG00000289458","up"
"ENSG00000287477",-2.83332138800719,"ENSG00000287477","down"
"ALDH1L2",2.83068723455069,"ALDH1L2","up"
"SMARCA2",2.82680333135415,"SMARCA2","up"
"CITED1",2.82328329450952,"CITED1","up"
"ARNILA",-2.82279072051502,"ARNILA","down"
"ENSG00000279822",-2.82279072051502,"ENSG00000279822","down"
"GRM5",-2.82279072051502,"GRM5","down"
