""	logFC	AveExpr	t	P.Value	adj.P.Val	B
GRM4	-4.99116199325376	5.42090774251619	-19.6778599954582	1.07600102112219e-06	5.80873152802872e-06	6.45665375792159
VANGL1	-4.88990137895399	5.14403366843432	-19.6742545148808	1.07717311077703e-06	5.81380276510119e-06	6.43622626202056
YIPF5	-4.99740341822364	5.45642087800531	-19.6705690333748	1.07837274358551e-06	5.81902043752494e-06	6.45690756811205
MAPK4	-4.81397325082429	3.90933513968198	-19.6687474690304	1.07896624114392e-06	5.82096578897425e-06	6.28759301653472
SEC24D	-5.6305189674135	6.68540542902099	-19.6669202926885	1.07956194912648e-06	5.82292222300864e-06	6.50802374523692
ACOT9	-4.23191901406235	4.87049180152803	-19.6653004138041	1.08009039275016e-06	5.82451508147418e-06	6.41069666399361
TSEN15	-6.4887296125478	5.94870138290982	-19.6638351066697	1.0805686706748e-06	5.8258367863917e-06	6.48092319692313
PRPSAP2	-5.67930548883031	5.7497062467974	-19.6609757360387	1.08150268247027e-06	5.82961445929605e-06	6.47075170087545
RSU1	-7.11947204589889	6.55017750784319	-19.6562806996551	1.08303835220812e-06	5.83648526438237e-06	6.50102991788697
MINDY2	-5.27850502522879	5.21704270735981	-19.655392011926	1.08332931300917e-06	5.83648526438237e-06	6.43678774183947
MINDY3	-4.93339682341932	4.52505913500154	-19.6549374553164	1.08347817227848e-06	5.83648526438237e-06	6.37171257883502
ZNF721	-5.04963253580131	5.03567624903358	-19.6510949314683	1.08473748265181e-06	5.84099765107949e-06	6.42155810357333
EEF1A2	-5.46671042209832	5.39138917073879	-19.6507772881907	1.08484166009167e-06	5.84099765107949e-06	6.44756150407413
TINF2	-5.41921982745062	5.1907369092524	-19.6500975604055	1.08506462947904e-06	5.84099765107949e-06	6.43343541975044
MDN1	-6.38311674896042	6.7936733765552	-19.6495295161953	1.08525100449532e-06	5.84099765107949e-06	6.50620519812498
POLR3G	-9.49632325108851	8.61945765378684	-19.6471072882789	1.08604615450412e-06	5.84401833386406e-06	6.53824247977668
MRPS18B	-5.67774083036966	6.08208069103299	-19.6455726112026	1.08655029715435e-06	5.84547214127997e-06	6.48156782158526
DPP8	-4.99344548395663	5.09664261356805	-19.6434009527825	1.08726415414198e-06	5.84805331045925e-06	6.42443343488724
KLC1	-4.49184818304745	4.41465023257371	-19.6411950620486	1.08798982266547e-06	5.85069688537969e-06	6.35471418039691
ANK2	-6.37504164526323	5.08778287549311	-19.6404395623214	1.08823848783561e-06	5.85077477514201e-06	6.42296145537647
RBBP8	-6.14553412024064	5.97872267706504	-19.6360627112824	1.0896803867585e-06	5.85564362502122e-06	6.47465329787156
ANKRD50	-5.11207487142051	5.04870578652698	-19.6358797265074	1.08974071721197e-06	5.85564362502122e-06	6.41865513637604
COG5	-5.65375391312234	5.30166948371701	-19.6355567385935	1.08984721647249e-06	5.85564362502122e-06	6.4374850760694
TACC3	-6.63596546581205	7.508313848509	-19.6335605031651	1.09050570684174e-06	5.85671809666122e-06	6.51803474424303
CYP2B6	-5.93203320450844	3.35420760654433	-19.6335292081602	1.09051603368828e-06	5.85671809666122e-06	6.17598153036376
PRAG1	-6.19289242070066	5.6119105924526	-19.6302499421639	1.0915987696054e-06	5.86127308399342e-06	6.45521054361775
MIA2	-4.93468322898435	4.39401004619119	-19.6262670489159	1.09291550955533e-06	5.8670823142953e-06	6.34833893211458
APAF1	-4.74087139210538	4.76950643493816	-19.6243637250257	1.09354539893308e-06	5.86920263092247e-06	6.39033825766603
EXOC7	-6.39532167474423	6.61911694510973	-19.6204174233442	1.09485274160198e-06	5.87495723715292e-06	6.49315344933756
BABAM2	-5.93430054173552	5.19143470354854	-19.6193111334477	1.09521956300953e-06	5.87566363801378e-06	6.42536592675526
TEAD3	-5.07001363555752	5.29808157413254	-19.613844863527	1.09703415863563e-06	5.8837546537999e-06	6.43147617495242
RIC8A	-5.80174398310134	6.1243297712275	-19.613349647534	1.09719872446581e-06	5.8837546537999e-06	6.47442885154361
PSMA6P1	-4.59965840571035	4.17310334258625	-19.6087043793087	1.09874379873775e-06	5.89077576559312e-06	6.31395924256525
SYNE2	-6.51411473702293	5.91166995383342	-19.6024685942795	1.10082188159676e-06	5.900650909636e-06	6.46255846407991
BIRC6	-6.22900929306157	5.88811335230205	-19.5997519743585	1.10172862862455e-06	5.90424454259024e-06	6.46075180716083
COQ2	-5.14829551197819	4.9055857932146	-19.5984336176239	1.10216897989479e-06	5.90533772114337e-06	6.39652082557348
CDHR1	-4.49022382212952	4.37288833734675	-19.5933204330876	1.10387880047454e-06	5.91323069276501e-06	6.33736562708842
GULP1	-4.01691836585722	5.88721050531395	-19.5891866249988	1.10526337991849e-06	5.91937841026441e-06	6.45782999077634
RNF7	-5.56714340114555	5.61650702614513	-19.5736391218993	1.1104889942113e-06	5.94526978561607e-06	6.4401933978016
PAIP2B	-4.18264017278062	5.25072374692968	-19.5733877115073	1.1105737307665e-06	5.94526978561607e-06	6.41747028458307
RDH10	-5.4138159489656	3.98791290544284	-19.5687270013675	1.11214596229111e-06	5.95241103724958e-06	6.27610559564748
POT1	-5.25805193077942	5.19257230688015	-19.5676372113496	1.11251396271034e-06	5.95310534254766e-06	6.41177579643539
ZNF271P	-4.53970763094247	4.61857841343147	-19.5667935824691	1.11279893672241e-06	5.95335516810977e-06	6.35985223178181
MCU	-6.38139670045948	6.28308740716186	-19.5642730066975	1.11365088201491e-06	5.95663747297377e-06	6.46677427761241
RING1	-5.23840201870391	4.40396451843984	-19.5523774654615	1.11768178941676e-06	5.97691819922695e-06	6.33097934348825
EIF2AK3	-4.89380160586433	4.99947817521417	-19.5490280531054	1.11881982868977e-06	5.98172364647661e-06	6.39177428136129
WWOX	-5.10293852902297	4.17707336855103	-19.5477781207003	1.1192448672304e-06	5.98271582432269e-06	6.29942313621238
TXNDC9	-4.96475443669942	5.14645062631851	-19.5445277745082	1.12035102490499e-06	5.98734759491469e-06	6.40220640406226
KLHL24	-5.79882773359292	5.30952054224263	-19.5429818046067	1.12087759575919e-06	5.98888063568171e-06	6.41337705839871
