WT_P62	Y2_P37_28	YT2_P37_7_17
9	17	6
3110	4165	5656
211	216	121
1	1	0
2269	4876	4622
187	234	232
3080	5482	6974
0	0	0
557	1067	996
0	0	1
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
2	4	1
37	74	66
5	2	2
0	0	0
211	190	104
50	27	19
1233	2060	1596
3	6	8
0	2	0
1740	1213	597
4	4	0
6	6	2
126	198	141
137	182	92
3	19	7
0	0	0
1235	1882	2206
3522	6560	7300
148	236	236
7	9	11
1066	1592	1929
195	317	294
5	13	12
4	21	3
1	0	0
62	27	20
2	13	19
0	0	0
42	68	39
0	0	0
811	1095	968
0	2	0
407	591	583
22	22	13
0	0	0
0	16	8
0	0	0
141	36	23
0	1	0
0	0	0
1	3	6
440	1368	1498
0	0	0
9	46	43
2	6	6
0	0	0
0	0	0
0	1	0
1441	2062	2309
3	10	5
0	0	0
0	0	0
23	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	3	1
17	37	78
0	0	0
90	119	91
0	0	0
0	3	0
0	0	2
1	8	2
3236	3137	3740
2	2	3
1	0	0
3708	4399	3648
0	0	0
1122	2204	1775
361	774	819
2	5	0
0	0	0
72	40	27
686	122	131
0	0	0
22	5	11
0	1	2
3	6	4
11925	29406	32167
0	0	0
4	6	14
1	15	0
0	0	0
1549	2615	3236
0	0	0
0	0	0
20	45	133
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
732	646	248
2	2	0
0	0	1
0	0	0
0	0	0
16	8	4
1	9	7
1539	247	146
0	0	0
0	0	0
0	2	0
43	32	9
0	0	0
0	0	0
2280	2403	1853
0	0	0
0	0	0
3	1	0
494	699	516
0	0	0
0	0	0
0	0	0
18	16	32
8014	12828	14883
21	47	44
2991	4548	4626
1	0	2
2034	2794	3303
0	0	0
24	18	35
8	17	18
0	0	0
0	0	0
952	1665	1158
3	2	3
486	712	859
11255	17546	17925
0	0	0
0	0	0
0	0	0
157	284	293
0	0	0
0	0	0
0	0	0
219	289	98
0	0	0
47	61	25
0	0	0
134	291	263
156	207	131
0	0	0
0	0	0
750	1355	1023
0	0	0
1	0	0
0	0	0
1313	679	573
0	0	0
3	2	3
0	2	0
0	0	0
0	0	0
0	2	1
1	11	11
75	210	338
0	0	0
0	0	0
38	230	437
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	5	3
196	483	270
6	13	2
999	2141	2252
0	0	0
31	221	355
294	563	290
1091	2985	1762
0	0	0
133	373	367
9264	15230	13341
2	0	3
588	461	293
5	1	3
674	975	1313
0	0	0
1	1	1
3675	6859	8785
4311	8355	10043
0	0	0
0	0	0
0	1	0
0	0	0
0	0	0
3	0	4
3234	4772	4849
0	1	0
10	28	9
6	11	3
0	0	0
0	0	0
0	0	0
49	72	59
69	69	105
1	0	1
1	1	0
741	1274	1126
0	0	0
10964	9777	9539
0	0	0
0	0	0
0	0	0
0	0	0
902	1118	800
3528	5399	5285
0	0	0
48	59	124
6363	4562	5105
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
7	11	5
190	306	245
0	0	0
1	0	1
0	0	0
38	68	34
0	2	0
0	0	0
1	0	0
371	52	43
0	0	0
10	2	1
4	1	2
0	0	0
0	0	0
2	0	0
0	0	0
2	2	0
1	0	0
600	875	1772
0	0	0
1	4	5
361	315	368
1	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
2842	2375	3188
0	0	0
0	0	0
0	0	0
1	0	0
0	0	0
4	7	1
15555	22772	21934
0	1	1
0	0	0
0	0	0
3996	3358	4271
0	0	0
0	0	0
0	0	0
0	0	0
1	1	4
486	143	162
0	0	0
4	8	5
0	0	0
62	69	67
0	0	0
9209	12337	15840
140	179	155
14	39	13
0	0	0
6	5	3
0	0	0
0	0	0
1956	3467	3459
410	782	729
0	1	0
0	0	0
12	13	11
3367	2804	3188
0	0	0
1	0	0
1	0	0
0	0	0
0	0	0
32179	39565	31828
97	114	111
2809	3923	5085
1785	2836	2575
0	0	2
2644	4622	5046
690	967	1096
1132	1280	788
404	736	477
0	1	3
2	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3707	6443	6656
6521	8536	11241
1	1	0
1	0	0
11	20	21
0	0	0
28	21	20
242	344	437
92	80	57
0	0	0
0	1	0
0	1	0
672	1127	664
0	1	0
452	748	613
0	0	0
11	19	5
1041	1642	1151
11	21	2
0	0	0
0	0	0
5882	8754	9989
0	0	1
0	0	0
0	0	1
19819	29656	22925
0	0	0
0	0	0
44	73	52
0	0	0
1	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
979	1535	1543
23	60	29
1	2	1
504	1051	1117
7	8	7
9	10	11
1	2	26
4	5	2
2	1	5
2	2	2
3307	4885	5351
12	25	12
53	122	123
923	1557	1784
821	1223	1086
761	802	702
0	0	0
6047	9788	9873
0	0	0
5	11	7
912	1460	1663
0	0	0
893	1254	835
8	5	2
292	411	425
16426	23338	24804
0	0	0
0	0	0
0	0	0
0	0	0
1	1	0
589	879	706
0	0	0
8	17	3
0	0	0
0	0	0
106	131	52
2	5	1
33	0	0
0	0	0
0	0	0
0	0	0
0	1	0
0	0	0
155	297	284
0	0	0
18	43	52
2	1	0
3	3	0
402	562	552
603	228	116
0	0	0
43	5	8
84	90	37
1	0	0
5	14	8
2044	3047	3022
0	0	0
0	0	3
2567	3315	3800
458	710	646
111	81	77
854	662	398
0	0	0
0	0	0
60797	52363	48122
23	24	34
1356	1578	1546
0	0	0
4217	8589	13424
11	7	10
0	0	0
2094	3131	3221
0	0	0
0	0	0
0	0	0
0	0	0
1	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
28	20	54
0	0	1
6676	7125	12763
0	0	3
570	845	426
0	1	2
0	0	0
1789	1991	2046
0	2	0
156	160	92
0	1	0
666	925	1247
0	0	0
12	17	25
520	753	847
4752	8205	8652
0	0	0
602	515	142
0	1	0
0	1	0
0	0	0
0	3	1
724	1178	1082
3138	4489	5204
42	156	141
12	10	5
1124	1920	1957
0	0	0
0	0	0
53	72	62
1558	2371	2279
0	0	0
0	0	0
1395	2979	2720
0	0	2
949	1584	1391
1	2	3
5	9	27
5	7	9
551	481	267
471	730	496
5	9	1
70	97	44
0	0	0
4	2	2
0	0	0
276	562	547
5553	8573	6899
0	0	0
0	0	0
3	2	4
2	0	0
1203	1279	1694
0	0	0
21	46	24
0	0	0
0	4	3
0	0	0
2	2	2
50	59	91
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	2
661	704	667
5	2	4
0	2	0
421	793	658
0	0	0
0	3	0
0	0	0
1	1	0
2305	3508	3653
1	5	0
0	0	0
575	778	786
2895	3537	4460
1627	1304	1559
0	1	1
620	936	817
1137	1948	2348
1	3	1
0	3	0
0	0	0
0	7	10
819	1624	1675
0	0	0
1	1	0
0	0	0
161	95	47
0	0	0
4632	8582	8224
6	14	8
2245	3705	3609
45	143	64
2	0	0
2963	8042	2028
586	815	750
2293	3519	4212
2	5	13
0	2	2
9	15	16
3048	5235	5582
859	1998	2072
0	0	0
18	21	63
0	0	0
5	6	21
740	1072	1125
476	489	459
0	0	0
0	0	0
0	0	0
0	0	0
656	1597	1177
243	176	331
3	2	2
0	0	0
0	0	0
960	1757	1784
0	0	0
58	79	99
6296	7994	11427
0	0	0
127	165	194
0	4	2
5289	6660	7343
0	0	0
2	6	4
16	26	24
404	685	133
2	6	0
0	1	0
3366	4983	5893
0	0	0
1191	1516	1259
0	0	0
3853	3081	1693
0	0	0
3	0	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
4	12	4
8	17	10
0	1	2
30	18	20
0	0	0
0	0	0
0	0	0
0	1	0
0	3	0
1	1	0
0	0	0
0	0	0
3401	5611	5693
0	0	0
0	1	1
5119	7017	9503
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
4	5	2
2128	3310	3385
3008	4500	5412
13	14	21
1835	2609	2807
1	4	9
416	282	458
1113	1812	1984
0	0	0
0	0	0
2	0	0
0	0	0
1	0	0
1	4	1
1	1	0
161	326	214
2	5	2
13	10	8
1148	1874	1828
6	5	4
1025	530	783
1	0	0
0	0	0
1747	3115	3792
0	0	0
0	0	0
3	5	1
0	0	0
159	105	85
0	0	0
1	1	0
5819	8715	7672
0	0	0
0	0	0
0	0	0
0	0	0
13599	17516	19367
0	0	0
621	861	1138
0	0	1
3886	5802	5720
0	0	0
0	1	1
2363	4541	4678
440	837	775
18	15	22
240	345	388
1	0	0
209	332	403
7431	11934	11086
432	576	625
180	241	186
92	106	85
2228	2069	1848
5921	7346	7325
12819	25123	35386
7	11	5
1	0	0
1	0	2
5	20	5
70	110	134
1602	2243	2767
0	0	0
0	0	0
9	3	1
0	0	0
0	0	0
0	1	0
258	324	341
478	486	566
591	987	785
27	41	29
8993	15639	17750
29	30	42
0	1	0
3643	3008	3925
0	1	0
11051	18299	11473
2097	2996	2401
146	111	161
29	109	93
480	446	60
0	0	0
730	1316	1002
0	0	0
